335.45, 340.03, 358.66, 406.2, 
340.03, 358.66, 406.2, 413.8, 
358.66, 406.2, 413.8, 456.96, 
406.2, 413.8, 456.96, 444.98, 
413.8, 456.96, 444.98, 504.52, 
456.96, 444.98, 504.52, 653.75, 
444.98, 504.52, 653.75, 545.07, 
504.52, 653.75, 545.07, 644.17, 
653.75, 545.07, 644.17, 694.61, 
545.07, 644.17, 694.61, 772.31, 
644.17, 694.61, 772.31, 768.95, 
694.61, 772.31, 768.95, 773.23, 
772.31, 768.95, 773.23, 853.12, 
768.95, 773.23, 853.12, 901.68, 
773.23, 853.12, 901.68, 963.83, 
853.12, 901.68, 963.83, 1049.35, 
901.68, 963.83, 1049.35, 1102.54, 
963.83, 1049.35, 1102.54, 1094.99, 
1049.35, 1102.54, 1094.99, 951.58, 
1102.54, 1094.99, 951.58, 1031.68, 
1094.99, 951.58, 1031.68, 1080.61, 
951.58, 1031.68, 1080.61, 1091.44, 
1031.68, 1080.61, 1091.44, 992.26, 
1080.61, 1091.44, 992.26, 776.36, 
1091.44, 992.26, 776.36, 730.1, 
992.26, 776.36, 730.1, 817.61, 
776.36, 730.1, 817.61, 897.54, 
730.1, 817.61, 897.54, 946.85, 
817.61, 897.54, 946.85, 873.03, 
897.54, 946.85, 873.03, 894.43, 
946.85, 873.03, 894.43, 881.59, 
873.03, 894.43, 881.59, 859.13, 
894.43, 881.59, 859.13, 808.14, 
881.59, 859.13, 808.14, 706.87, 
859.13, 808.14, 706.87, 623.38, 
808.14, 706.87, 623.38, 562.33, 
706.87, 623.38, 562.33, 694.1, 
623.38, 562.33, 694.1, 626.2, 
562.33, 694.1, 626.2, 624.07, 
694.1, 626.2, 624.07, 629.45, 
626.2, 624.07, 629.45, 663.41, 
624.07, 629.45, 663.41, 669.09, 
629.45, 663.41, 669.09, 702.13, 
663.41, 669.09, 702.13, 760.84, 
669.09, 702.13, 760.84, 734.62, 
702.13, 760.84, 734.62, 725.49, 
760.84, 734.62, 725.49, 742.42, 
734.62, 725.49, 742.42, 757.71, 
725.49, 742.42, 757.71, 760.91, 
742.42, 757.71, 760.91, 771.3, 
757.71, 760.91, 771.3, 811.47, 
760.91, 771.3, 811.47, 819.23, 
771.3, 811.47, 819.23, 864.65, 
811.47, 819.23, 864.65, 957.35, 
819.23, 864.65, 957.35, 939.27, 
864.65, 957.35, 939.27, 842.64, 
957.35, 939.27, 842.64, 843.84, 
939.27, 842.64, 843.84, 842.98, 
842.64, 843.84, 842.98, 888.05, 
843.84, 842.98, 888.05, 897.51, 
842.98, 888.05, 897.51, 857.75, 
888.05, 897.51, 857.75, 845.5, 
897.51, 857.75, 845.5, 834.26, 
857.75, 845.5, 834.26, 866.23, 
845.5, 834.26, 866.23, 845.19, 
834.26, 866.23, 845.19, 817.63, 
866.23, 845.19, 817.63, 837.4, 
845.19, 817.63, 837.4, 855.48, 
817.63, 837.4, 855.48, 874.82, 
837.4, 855.48, 874.82, 870.64, 
855.48, 874.82, 870.64, 853.58, 
874.82, 870.64, 853.58, 833.93, 
870.64, 853.58, 833.93, 805.12, 
853.58, 833.93, 805.12, 854.89, 
833.93, 805.12, 854.89, 887.98, 
805.12, 854.89, 887.98, 787.18, 
854.89, 887.98, 787.18, 825.6, 
887.98, 787.18, 825.6, 821.93, 
787.18, 825.6, 821.93, 822.31, 
825.6, 821.93, 822.31, 827.55, 
821.93, 822.31, 827.55, 846.43, 
822.31, 827.55, 846.43, 831.2, 
827.55, 846.43, 831.2, 809.57, 
846.43, 831.2, 809.57, 841.51, 
831.2, 809.57, 841.51, 815.39, 
809.57, 841.51, 815.39, 785.62, 
841.51, 815.39, 785.62, 715.76, 
815.39, 785.62, 715.76, 680.58, 
785.62, 715.76, 680.58, 687.89, 
715.76, 680.58, 687.89, 673.81, 
680.58, 687.89, 673.81, 662.36, 
687.89, 673.81, 662.36, 653.72, 
673.81, 662.36, 653.72, 614.82, 
662.36, 653.72, 614.82, 659.26, 
653.72, 614.82, 659.26, 648.36, 
614.82, 659.26, 648.36, 608.54, 
659.26, 648.36, 608.54, 624.95, 
