"['220.85185185185185', '166.25925925925927', '143.92592592592592', '151.37037037037035', '136.48148148148147', '121.5925925925926', '173.7037037037037', '158.8148148148148', '171.22222222222223', '121.5925925925926', '121.5925925925926', '111.66666666666666', '109.18518518518518', '99.25925925925925', '1']"
"['166.25925925925927', '143.92592592592592', '151.37037037037035', '136.48148148148147', '121.5925925925926', '173.7037037037037', '158.8148148148148', '171.22222222222223', '121.5925925925926', '121.5925925925926', '111.66666666666666', '109.18518518518518', '99.25925925925925', '99.25925925925925', '0']"
"['143.92592592592592', '151.37037037037035', '136.48148148148147', '121.5925925925926', '173.7037037037037', '158.8148148148148', '171.22222222222223', '121.5925925925926', '121.5925925925926', '111.66666666666666', '109.18518518518518', '99.25925925925925', '99.25925925925925', '81.88888888888889', '0']"
"['151.37037037037035', '136.48148148148147', '121.5925925925926', '173.7037037037037', '158.8148148148148', '171.22222222222223', '121.5925925925926', '121.5925925925926', '111.66666666666666', '109.18518518518518', '99.25925925925925', '99.25925925925925', '81.88888888888889', '91.81481481481481', '0']"
"['136.48148148148147', '121.5925925925926', '173.7037037037037', '158.8148148148148', '171.22222222222223', '121.5925925925926', '121.5925925925926', '111.66666666666666', '109.18518518518518', '99.25925925925925', '99.25925925925925', '81.88888888888889', '91.81481481481481', '104.22222222222221', '0']"
"['121.5925925925926', '173.7037037037037', '158.8148148148148', '171.22222222222223', '121.5925925925926', '121.5925925925926', '111.66666666666666', '109.18518518518518', '99.25925925925925', '99.25925925925925', '81.88888888888889', '91.81481481481481', '104.22222222222221', '101.74074074074073', '0']"
"['173.7037037037037', '158.8148148148148', '171.22222222222223', '121.5925925925926', '121.5925925925926', '111.66666666666666', '109.18518518518518', '99.25925925925925', '99.25925925925925', '81.88888888888889', '91.81481481481481', '104.22222222222221', '101.74074074074073', '181.14814814814815', '0']"
"['158.8148148148148', '171.22222222222223', '121.5925925925926', '121.5925925925926', '111.66666666666666', '109.18518518518518', '99.25925925925925', '99.25925925925925', '81.88888888888889', '91.81481481481481', '104.22222222222221', '101.74074074074073', '181.14814814814815', '126.55555555555556', '1']"
"['171.22222222222223', '121.5925925925926', '121.5925925925926', '111.66666666666666', '109.18518518518518', '99.25925925925925', '99.25925925925925', '81.88888888888889', '91.81481481481481', '104.22222222222221', '101.74074074074073', '181.14814814814815', '126.55555555555556', '94.29629629629629', '0']"
"['121.5925925925926', '121.5925925925926', '111.66666666666666', '109.18518518518518', '99.25925925925925', '99.25925925925925', '81.88888888888889', '91.81481481481481', '104.22222222222221', '101.74074074074073', '181.14814814814815', '126.55555555555556', '94.29629629629629', '84.37037037037037', '0']"
"['121.5925925925926', '111.66666666666666', '109.18518518518518', '99.25925925925925', '99.25925925925925', '81.88888888888889', '91.81481481481481', '104.22222222222221', '101.74074074074073', '181.14814814814815', '126.55555555555556', '94.29629629629629', '84.37037037037037', '86.85185185185185', '1']"
"['111.66666666666666', '109.18518518518518', '99.25925925925925', '99.25925925925925', '81.88888888888889', '91.81481481481481', '104.22222222222221', '101.74074074074073', '181.14814814814815', '126.55555555555556', '94.29629629629629', '84.37037037037037', '86.85185185185185', '79.4074074074074', '1']"
"['109.18518518518518', '99.25925925925925', '99.25925925925925', '81.88888888888889', '91.81481481481481', '104.22222222222221', '101.74074074074073', '181.14814814814815', '126.55555555555556', '94.29629629629629', '84.37037037037037', '86.85185185185185', '79.4074074074074', '74.44444444444444', '1']"
"['99.25925925925925', '99.25925925925925', '81.88888888888889', '91.81481481481481', '104.22222222222221', '101.74074074074073', '181.14814814814815', '126.55555555555556', '94.29629629629629', '84.37037037037037', '86.85185185185185', '79.4074074074074', '74.44444444444444', '71.96296296296296', '1']"
"['99.25925925925925', '81.88888888888889', '91.81481481481481', '104.22222222222221', '101.74074074074073', '181.14814814814815', '126.55555555555556', '94.29629629629629', '84.37037037037037', '86.85185185185185', '79.4074074074074', '74.44444444444444', '71.96296296296296', '69.48148148148148', '1']"
"['81.88888888888889', '91.81481481481481', '104.22222222222221', '101.74074074074073', '181.14814814814815', '126.55555555555556', '94.29629629629629', '84.37037037037037', '86.85185185185185', '79.4074074074074', '74.44444444444444', '71.96296296296296', '69.48148148148148', '71.96296296296296', '0']"
"['91.81481481481481', '104.22222222222221', '101.74074074074073', '181.14814814814815', '126.55555555555556', '94.29629629629629', '84.37037037037037', '86.85185185185185', '79.4074074074074', '74.44444444444444', '71.96296296296296', '69.48148148148148', '71.96296296296296', '64.51851851851852', '0']"
