"['22.23041474654378', '0']"
"['27.47926267281106', '0']"
"['26.861751152073733', '1']"
"['25.00921658986175', '1']"
"['23.15668202764977', '1']"
"['23.774193548387096', '0']"
"['20.06912442396313', '0']"
"['19.142857142857142', '1']"
"['17.599078341013826', '0']"
"['22.53917050691244', '1']"
"['20.377880184331797', '0']"
"['19.76036866359447', '1']"
"['20.68663594470046', '0']"
"['18.216589861751153', '0']"
"['21.921658986175114', '0']"
"['25.93548387096774', '0']"
"['24.08294930875576', '0']"
"['23.465437788018434', '0']"
"['22.847926267281107', '1']"
"['22.847926267281107', '0']"
"['21.921658986175114', '0']"
"['18.83410138248848', '1']"
"['21.612903225806452', '0']"
"['25.62672811059908', '0']"
"['28.714285714285715', '1']"
"['30.87557603686636', '0']"
"['24.08294930875576', '0']"
"['18.83410138248848', '1']"
"['20.995391705069125', '0']"
"['22.847926267281107', '0']"
"['20.377880184331797', '0']"
"['21.921658986175114', '0']"
"['24.08294930875576', '0']"
"['25.317972350230413', '0']"
"['21.304147465437786', '1']"
"['20.06912442396313', '0']"
"['21.304147465437786', '0']"
"['27.47926267281106', '1']"
"['25.93548387096774', '1']"
"['22.23041474654378', '0']"
"['21.304147465437786', '0']"
"['19.76036866359447', '1']"
"['20.995391705069125', '0']"
"['23.465437788018434', '0']"
"['23.465437788018434', '1']"
"['22.53917050691244', '0']"
"['22.23041474654378', '1']"
"['22.23041474654378', '0']"
"['24.08294930875576', '0']"
"['29.023041474654377', '0']"
"['29.949308755760367', '1']"
"['27.788018433179722', '0']"
"['27.170506912442395', '1']"
"['25.93548387096774', '1']"
"['22.847926267281107', '0']"
"['22.23041474654378', '1']"
"['19.451612903225808', '1']"
"['21.612903225806452', '1']"
"['24.391705069124423', '1']"
"['22.23041474654378', '0']"
"['21.304147465437786', '0']"
"['21.921658986175114', '0']"
"['20.06912442396313', '1']"
"['19.142857142857142', '1']"
"['19.451612903225808', '0']"
"['20.995391705069125', '0']"
"['19.142857142857142', '1']"
"['20.06912442396313', '0']"
"['19.451612903225808', '0']"
"['19.451612903225808', '0']"
"['19.451612903225808', '1']"
"['20.377880184331797', '1']"
"['20.68663594470046', '1']"
"['20.06912442396313', '0']"
"['20.377880184331797', '1']"
"['17.599078341013826', '0']"
"['18.216589861751153', '0']"
"['19.142857142857142', '0']"
"['19.76036866359447', '1']"
"['19.142857142857142', '1']"
"['19.76036866359447', '1']"
"['23.465437788018434', '1']"
"['23.465437788018434', '0']"
"['19.451612903225808', '1']"
"['20.68663594470046', '1']"
