"['104.52', '108.11', '111.43', '113.84', '112.92', '111.21', '112.55', '113.13', '114.43', '122.06', '121.7', '120.57', '127.83', '1']"
"['557.3', '662.28', '665', '655.51', '658.71', '627.36', '616.06', '637.04', '626.45', '629.08', '633.59', '639.1', '627.99', '1']"
"['662.28', '665', '655.51', '658.71', '627.36', '616.06', '637.04', '626.45', '629.08', '633.59', '639.1', '627.99', '629.35', '1']"
"['665', '655.51', '658.71', '627.36', '616.06', '637.04', '626.45', '629.08', '633.59', '639.1', '627.99', '629.35', '630.53', '0']"
"['655.51', '658.71', '627.36', '616.06', '637.04', '626.45', '629.08', '633.59', '639.1', '627.99', '629.35', '630.53', '622.9', '0']"
"['658.71', '627.36', '616.06', '637.04', '626.45', '629.08', '633.59', '639.1', '627.99', '629.35', '630.53', '622.9', '613.84', '0']"
"['627.36', '616.06', '637.04', '626.45', '629.08', '633.59', '639.1', '627.99', '629.35', '630.53', '622.9', '613.84', '610.04', '0']"
"['616.06', '637.04', '626.45', '629.08', '633.59', '639.1', '627.99', '629.35', '630.53', '622.9', '613.84', '610.04', '583.67', '0']"
"['637.04', '626.45', '629.08', '633.59', '639.1', '627.99', '629.35', '630.53', '622.9', '613.84', '610.04', '583.67', '578.36', '0']"
"['626.45', '629.08', '633.59', '639.1', '627.99', '629.35', '630.53', '622.9', '613.84', '610.04', '583.67', '578.36', '562.2', '1']"
"['629.08', '633.59', '639.1', '627.99', '629.35', '630.53', '622.9', '613.84', '610.04', '583.67', '578.36', '562.2', '564.25', '1']"
"['633.59', '639.1', '627.99', '629.35', '630.53', '622.9', '613.84', '610.04', '583.67', '578.36', '562.2', '564.25', '574.88', '0']"
"['639.1', '627.99', '629.35', '630.53', '622.9', '613.84', '610.04', '583.67', '578.36', '562.2', '564.25', '574.88', '563.9', '1']"
"['627.99', '629.35', '630.53', '622.9', '613.84', '610.04', '583.67', '578.36', '562.2', '564.25', '574.88', '563.9', '581.1', '0']"
"['629.35', '630.53', '622.9', '613.84', '610.04', '583.67', '578.36', '562.2', '564.25', '574.88', '563.9', '581.1', '512.9', '0']"
"['630.53', '622.9', '613.84', '610.04', '583.67', '578.36', '562.2', '564.25', '574.88', '563.9', '581.1', '512.9', '501.32', '0']"
"['622.9', '613.84', '610.04', '583.67', '578.36', '562.2', '564.25', '574.88', '563.9', '581.1', '512.9', '501.32', '497.05', '0']"
"['613.84', '610.04', '583.67', '578.36', '562.2', '564.25', '574.88', '563.9', '581.1', '512.9', '501.32', '497.05', '462.2', '0']"
"['610.04', '583.67', '578.36', '562.2', '564.25', '574.88', '563.9', '581.1', '512.9', '501.32', '497.05', '462.2', '457.6', '1']"
"['583.67', '578.36', '562.2', '564.25', '574.88', '563.9', '581.1', '512.9', '501.32', '497.05', '462.2', '457.6', '478.67', '0']"
"['578.36', '562.2', '564.25', '574.88', '563.9', '581.1', '512.9', '501.32', '497.05', '462.2', '457.6', '478.67', '449.1', '0']"
"['562.2', '564.25', '574.88', '563.9', '581.1', '512.9', '501.32', '497.05', '462.2', '457.6', '478.67', '449.1', '442.61', '1']"
"['564.25', '574.88', '563.9', '581.1', '512.9', '501.32', '497.05', '462.2', '457.6', '478.67', '449.1', '442.61', '447.95', '1']"
"['574.88', '563.9', '581.1', '512.9', '501.32', '497.05', '462.2', '457.6', '478.67', '449.1', '442.61', '447.95', '457.53', '1']"
"['563.9', '581.1', '512.9', '501.32', '497.05', '462.2', '457.6', '478.67', '449.1', '442.61', '447.95', '457.53', '460.37', '0']"
"['581.1', '512.9', '501.32', '497.05', '462.2', '457.6', '478.67', '449.1', '442.61', '447.95', '457.53', '460.37', '449.64', '1']"
"['512.9', '501.32', '497.05', '462.2', '457.6', '478.67', '449.1', '442.61', '447.95', '457.53', '460.37', '449.64', '450.79', '0']"
"['501.32', '497.05', '462.2', '457.6', '478.67', '449.1', '442.61', '447.95', '457.53', '460.37', '449.64', '450.79', '437.47', '0']"
"['497.05', '462.2', '457.6', '478.67', '449.1', '442.61', '447.95', '457.53', '460.37', '449.64', '450.79', '437.47', '386.66', '1']"
"['462.2', '457.6', '478.67', '449.1', '442.61', '447.95', '457.53', '460.37', '449.64', '450.79', '437.47', '386.66', '414.53', '1']"
"['457.6', '478.67', '449.1', '442.61', '447.95', '457.53', '460.37', '449.64', '450.79', '437.47', '386.66', '414.53', '422.03', '0']"
"['478.67', '449.1', '442.61', '447.95', '457.53', '460.37', '449.64', '450.79', '437.47', '386.66', '414.53', '422.03', '413.6', '1']"
"['449.1', '442.61', '447.95', '457.53', '460.37', '449.64', '450.79', '437.47', '386.66', '414.53', '422.03', '413.6', '465.45', '1']"
"['442.61', '447.95', '457.53', '460.37', '449.64', '450.79', '437.47', '386.66', '414.53', '422.03', '413.6', '465.45', '500.99', '1']"
"['447.95', '457.53', '460.37', '449.64', '450.79', '437.47', '386.66', '414.53', '422.03', '413.6', '465.45', '500.99', '518.77', '0']"
"['457.53', '460.37', '449.64', '450.79', '437.47', '386.66', '414.53', '422.03', '413.6', '465.45', '500.99', '518.77', '498.45', '0']"
"['460.37', '449.64', '450.79', '437.47', '386.66', '414.53', '422.03', '413.6', '465.45', '500.99', '518.77', '498.45', '481.16', '1']"
"['449.64', '450.79', '437.47', '386.66', '414.53', '422.03', '413.6', '465.45', '500.99', '518.77', '498.45', '481.16', '496.48', '1']"
"['450.79', '437.47', '386.66', '414.53', '422.03', '413.6', '465.45', '500.99', '518.77', '498.45', '481.16', '496.48', '498.76', '0']"
"['437.47', '386.66', '414.53', '422.03', '413.6', '465.45', '500.99', '518.77', '498.45', '481.16', '496.48', '498.76', '494.62', '0']"
"['386.66', '414.53', '422.03', '413.6', '465.45', '500.99', '518.77', '498.45', '481.16', '496.48', '498.76', '494.62', '489.03', '0']"
"['414.53', '422.03', '413.6', '465.45', '500.99', '518.77', '498.45', '481.16', '496.48', '498.76', '494.62', '489.03', '486.85', '0']"
"['422.03', '413.6', '465.45', '500.99', '518.77', '498.45', '481.16', '496.48', '498.76', '494.62', '489.03', '486.85', '481.38', '0']"
"['413.6', '465.45', '500.99', '518.77', '498.45', '481.16', '496.48', '498.76', '494.62', '489.03', '486.85', '481.38', '461.23', '0']"
"['465.45', '500.99', '518.77', '498.45', '481.16', '496.48', '498.76', '494.62', '489.03', '486.85', '481.38', '461.23', '457.93', '0']"
"['500.99', '518.77', '498.45', '481.16', '496.48', '498.76', '494.62', '489.03', '486.85', '481.38', '461.23', '457.93', '440.41', '0']"
"['518.77', '498.45', '481.16', '496.48', '498.76', '494.62', '489.03', '486.85', '481.38', '461.23', '457.93', '440.41', '439.29', '1']"
"['498.45', '481.16', '496.48', '498.76', '494.62', '489.03', '486.85', '481.38', '461.23', '457.93', '440.41', '439.29', '443.31', '1']"
"['481.16', '496.48', '498.76', '494.62', '489.03', '486.85', '481.38', '461.23', '457.93', '440.41', '439.29', '443.31', '446.22', '1']"
"['496.48', '498.76', '494.62', '489.03', '486.85', '481.38', '461.23', '457.93', '440.41', '439.29', '443.31', '446.22', '455.13', '0']"
"['498.76', '494.62', '489.03', '486.85', '481.38', '461.23', '457.93', '440.41', '439.29', '443.31', '446.22', '455.13', '448.08', '0']"
"['494.62', '489.03', '486.85', '481.38', '461.23', '457.93', '440.41', '439.29', '443.31', '446.22', '455.13', '448.08', '436.12', '0']"
"['489.03', '486.85', '481.38', '461.23', '457.93', '440.41', '439.29', '443.31', '446.22', '455.13', '448.08', '436.12', '434.63', '0']"
"['486.85', '481.38', '461.23', '457.93', '440.41', '439.29', '443.31', '446.22', '455.13', '448.08', '436.12', '434.63', '430.67', '0']"
"['481.38', '461.23', '457.93', '440.41', '439.29', '443.31', '446.22', '455.13', '448.08', '436.12', '434.63', '430.67', '427.55', '1']"
"['461.23', '457.93', '440.41', '439.29', '443.31', '446.22', '455.13', '448.08', '436.12', '434.63', '430.67', '427.55', '438.17', '1']"
"['457.93', '440.41', '439.29', '443.31', '446.22', '455.13', '448.08', '436.12', '434.63', '430.67', '427.55', '438.17', '438.25', '1']"
"['440.41', '439.29', '443.31', '446.22', '455.13', '448.08', '436.12', '434.63', '430.67', '427.55', '438.17', '438.25', '446.24', '1']"
"['439.29', '443.31', '446.22', '455.13', '448.08', '436.12', '434.63', '430.67', '427.55', '438.17', '438.25', '446.24', '451.43', '0']"
"['443.31', '446.22', '455.13', '448.08', '436.12', '434.63', '430.67', '427.55', '438.17', '438.25', '446.24', '451.43', '439.36', '0']"
"['446.22', '455.13', '448.08', '436.12', '434.63', '430.67', '427.55', '438.17', '438.25', '446.24', '451.43', '439.36', '438.87', '0']"
"['455.13', '448.08', '436.12', '434.63', '430.67', '427.55', '438.17', '438.25', '446.24', '451.43', '439.36', '438.87', '437.84', '1']"
"['448.08', '436.12', '434.63', '430.67', '427.55', '438.17', '438.25', '446.24', '451.43', '439.36', '438.87', '437.84', '443.26', '1']"
"['436.12', '434.63', '430.67', '427.55', '438.17', '438.25', '446.24', '451.43', '439.36', '438.87', '437.84', '443.26', '444.92', '1']"
"['434.63', '430.67', '427.55', '438.17', '438.25', '446.24', '451.43', '439.36', '438.87', '437.84', '443.26', '444.92', '446.33', '1']"
"['430.67', '427.55', '438.17', '438.25', '446.24', '451.43', '439.36', '438.87', '437.84', '443.26', '444.92', '446.33', '446.42', '0']"
"['427.55', '438.17', '438.25', '446.24', '451.43', '439.36', '438.87', '437.84', '443.26', '444.92', '446.33', '446.42', '444.9', '1']"
"['438.17', '438.25', '446.24', '451.43', '439.36', '438.87', '437.84', '443.26', '444.92', '446.33', '446.42', '444.9', '460.48', '1']"
"['438.25', '446.24', '451.43', '439.36', '438.87', '437.84', '443.26', '444.92', '446.33', '446.42', '444.9', '460.48', '478.49', '1']"
"['446.24', '451.43', '439.36', '438.87', '437.84', '443.26', '444.92', '446.33', '446.42', '444.9', '460.48', '478.49', '490.43', '1']"
"['451.43', '439.36', '438.87', '437.84', '443.26', '444.92', '446.33', '446.42', '444.9', '460.48', '478.49', '490.43', '517.66', '1']"
"['439.36', '438.87', '437.84', '443.26', '444.92', '446.33', '446.42', '444.9', '460.48', '478.49', '490.43', '517.66', '524.19', '1']"
"['438.87', '437.84', '443.26', '444.92', '446.33', '446.42', '444.9', '460.48', '478.49', '490.43', '517.66', '524.19', '535.36', '1']"
"['437.84', '443.26', '444.92', '446.33', '446.42', '444.9', '460.48', '478.49', '490.43', '517.66', '524.19', '535.36', '566.38', '1']"
"['443.26', '444.92', '446.33', '446.42', '444.9', '460.48', '478.49', '490.43', '517.66', '524.19', '535.36', '566.38', '581.56', '0']"
"['444.92', '446.33', '446.42', '444.9', '460.48', '478.49', '490.43', '517.66', '524.19', '535.36', '566.38', '581.56', '573.32', '0']"
"['446.33', '446.42', '444.9', '460.48', '478.49', '490.43', '517.66', '524.19', '535.36', '566.38', '581.56', '573.32', '571.84', '1']"
"['446.42', '444.9', '460.48', '478.49', '490.43', '517.66', '524.19', '535.36', '566.38', '581.56', '573.32', '571.84', '583.53', '1']"
"['444.9', '460.48', '478.49', '490.43', '517.66', '524.19', '535.36', '566.38', '581.56', '573.32', '571.84', '583.53', '607.55', '1']"
"['460.48', '478.49', '490.43', '517.66', '524.19', '535.36', '566.38', '581.56', '573.32', '571.84', '583.53', '607.55', '619.78', '1']"
"['478.49', '490.43', '517.66', '524.19', '535.36', '566.38', '581.56', '573.32', '571.84', '583.53', '607.55', '619.78', '637.66', '1']"
"['490.43', '517.66', '524.19', '535.36', '566.38', '581.56', '573.32', '571.84', '583.53', '607.55', '619.78', '637.66', '644.3', '1']"
"['517.66', '524.19', '535.36', '566.38', '581.56', '573.32', '571.84', '583.53', '607.55', '619.78', '637.66', '644.3', '660.72', '0']"
"['524.19', '535.36', '566.38', '581.56', '573.32', '571.84', '583.53', '607.55', '619.78', '637.66', '644.3', '660.72', '639.39', '1']"
"['535.36', '566.38', '581.56', '573.32', '571.84', '583.53', '607.55', '619.78', '637.66', '644.3', '660.72', '639.39', '654.25', '0']"
"['566.38', '581.56', '573.32', '571.84', '583.53', '607.55', '619.78', '637.66', '644.3', '660.72', '639.39', '654.25', '650.66', '1']"
"['581.56', '573.32', '571.84', '583.53', '607.55', '619.78', '637.66', '644.3', '660.72', '639.39', '654.25', '650.66', '652.67', '0']"
"['573.32', '571.84', '583.53', '607.55', '619.78', '637.66', '644.3', '660.72', '639.39', '654.25', '650.66', '652.67', '647.99', '1']"
"['571.84', '583.53', '607.55', '619.78', '637.66', '644.3', '660.72', '639.39', '654.25', '650.66', '652.67', '647.99', '649.14', '1']"
"['583.53', '607.55', '619.78', '637.66', '644.3', '660.72', '639.39', '654.25', '650.66', '652.67', '647.99', '649.14', '651.43', '0']"
"['607.55', '619.78', '637.66', '644.3', '660.72', '639.39', '654.25', '650.66', '652.67', '647.99', '649.14', '651.43', '637.21', '0']"
"['619.78', '637.66', '644.3', '660.72', '639.39', '654.25', '650.66', '652.67', '647.99', '649.14', '651.43', '637.21', '605.43', '0']"
"['637.66', '644.3', '660.72', '639.39', '654.25', '650.66', '652.67', '647.99', '649.14', '651.43', '637.21', '605.43', '593.12', '0']"
"['644.3', '660.72', '639.39', '654.25', '650.66', '652.67', '647.99', '649.14', '651.43', '637.21', '605.43', '593.12', '570.85', '1']"
"['660.72', '639.39', '654.25', '650.66', '652.67', '647.99', '649.14', '651.43', '637.21', '605.43', '593.12', '570.85', '576.37', '1']"
"['639.39', '654.25', '650.66', '652.67', '647.99', '649.14', '651.43', '637.21', '605.43', '593.12', '570.85', '576.37', '594.26', '1']"
"['654.25', '650.66', '652.67', '647.99', '649.14', '651.43', '637.21', '605.43', '593.12', '570.85', '576.37', '594.26', '602.02', '1']"
"['650.66', '652.67', '647.99', '649.14', '651.43', '637.21', '605.43', '593.12', '570.85', '576.37', '594.26', '602.02', '603.48', '0']"
"['652.67', '647.99', '649.14', '651.43', '637.21', '605.43', '593.12', '570.85', '576.37', '594.26', '602.02', '603.48', '599.77', '0']"
"['647.99', '649.14', '651.43', '637.21', '605.43', '593.12', '570.85', '576.37', '594.26', '602.02', '603.48', '599.77', '591.11', '1']"
"['649.14', '651.43', '637.21', '605.43', '593.12', '570.85', '576.37', '594.26', '602.02', '603.48', '599.77', '591.11', '591.8', '1']"
"['651.43', '637.21', '605.43', '593.12', '570.85', '576.37', '594.26', '602.02', '603.48', '599.77', '591.11', '591.8', '599.1', '0']"
"['637.21', '605.43', '593.12', '570.85', '576.37', '594.26', '602.02', '603.48', '599.77', '591.11', '591.8', '599.1', '587.56', '0']"
"['605.43', '593.12', '570.85', '576.37', '594.26', '602.02', '603.48', '599.77', '591.11', '591.8', '599.1', '587.56', '584.29', '0']"
"['593.12', '570.85', '576.37', '594.26', '602.02', '603.48', '599.77', '591.11', '591.8', '599.1', '587.56', '584.29', '566.76', '1']"
"['570.85', '576.37', '594.26', '602.02', '603.48', '599.77', '591.11', '591.8', '599.1', '587.56', '584.29', '566.76', '579.23', '1']"
"['576.37', '594.26', '602.02', '603.48', '599.77', '591.11', '591.8', '599.1', '587.56', '584.29', '566.76', '579.23', '596.02', '1']"
"['594.26', '602.02', '603.48', '599.77', '591.11', '591.8', '599.1', '587.56', '584.29', '566.76', '579.23', '596.02', '606.34', '0']"
"['602.02', '603.48', '599.77', '591.11', '591.8', '599.1', '587.56', '584.29', '566.76', '579.23', '596.02', '606.34', '596.2', '1']"
"['603.48', '599.77', '591.11', '591.8', '599.1', '587.56', '584.29', '566.76', '579.23', '596.02', '606.34', '596.2', '631.09', '1']"
"['599.77', '591.11', '591.8', '599.1', '587.56', '584.29', '566.76', '579.23', '596.02', '606.34', '596.2', '631.09', '646.47', '1']"
"['591.11', '591.8', '599.1', '587.56', '584.29', '566.76', '579.23', '596.02', '606.34', '596.2', '631.09', '646.47', '649.16', '0']"
"['591.8', '599.1', '587.56', '584.29', '566.76', '579.23', '596.02', '606.34', '596.2', '631.09', '646.47', '649.16', '638.62', '0']"
"['599.1', '587.56', '584.29', '566.76', '579.23', '596.02', '606.34', '596.2', '631.09', '646.47', '649.16', '638.62', '632.62', '0']"
"['587.56', '584.29', '566.76', '579.23', '596.02', '606.34', '596.2', '631.09', '646.47', '649.16', '638.62', '632.62', '629.67', '1']"
"['584.29', '566.76', '579.23', '596.02', '606.34', '596.2', '631.09', '646.47', '649.16', '638.62', '632.62', '629.67', '633.77', '0']"
"['566.76', '579.23', '596.02', '606.34', '596.2', '631.09', '646.47', '649.16', '638.62', '632.62', '629.67', '633.77', '623.46', '0']"
"['579.23', '596.02', '606.34', '596.2', '631.09', '646.47', '649.16', '638.62', '632.62', '629.67', '633.77', '623.46', '622.52', '1']"
"['596.02', '606.34', '596.2', '631.09', '646.47', '649.16', '638.62', '632.62', '629.67', '633.77', '623.46', '622.52', '623.51', '0']"
"['606.34', '596.2', '631.09', '646.47', '649.16', '638.62', '632.62', '629.67', '633.77', '623.46', '622.52', '623.51', '617.73', '1']"
"['596.2', '631.09', '646.47', '649.16', '638.62', '632.62', '629.67', '633.77', '623.46', '622.52', '623.51', '617.73', '628.09', '1']"
"['631.09', '646.47', '649.16', '638.62', '632.62', '629.67', '633.77', '623.46', '622.52', '623.51', '617.73', '628.09', '632.6', '0']"
"['646.47', '649.16', '638.62', '632.62', '629.67', '633.77', '623.46', '622.52', '623.51', '617.73', '628.09', '632.6', '625.94', '0']"
"['649.16', '638.62', '632.62', '629.67', '633.77', '623.46', '622.52', '623.51', '617.73', '628.09', '632.6', '625.94', '620.97', '1']"
"['638.62', '632.62', '629.67', '633.77', '623.46', '622.52', '623.51', '617.73', '628.09', '632.6', '625.94', '620.97', '621.6', '0']"
"['632.62', '629.67', '633.77', '623.46', '622.52', '623.51', '617.73', '628.09', '632.6', '625.94', '620.97', '621.6', '617.79', '1']"
"['629.67', '633.77', '623.46', '622.52', '623.51', '617.73', '628.09', '632.6', '625.94', '620.97', '621.6', '617.79', '621.45', '1']"
"['633.77', '623.46', '622.52', '623.51', '617.73', '628.09', '632.6', '625.94', '620.97', '621.6', '617.79', '621.45', '624.57', '1']"
"['623.46', '622.52', '623.51', '617.73', '628.09', '632.6', '625.94', '620.97', '621.6', '617.79', '621.45', '624.57', '627.44', '0']"
"['622.52', '623.51', '617.73', '628.09', '632.6', '625.94', '620.97', '621.6', '617.79', '621.45', '624.57', '627.44', '623.25', '0']"
"['623.51', '617.73', '628.09', '632.6', '625.94', '620.97', '621.6', '617.79', '621.45', '624.57', '627.44', '623.25', '620.22', '1']"
"['617.73', '628.09', '632.6', '625.94', '620.97', '621.6', '617.79', '621.45', '624.57', '627.44', '623.25', '620.22', '620.65', '0']"
"['628.09', '632.6', '625.94', '620.97', '621.6', '617.79', '621.45', '624.57', '627.44', '623.25', '620.22', '620.65', '612.94', '0']"
"['632.6', '625.94', '620.97', '621.6', '617.79', '621.45', '624.57', '627.44', '623.25', '620.22', '620.65', '612.94', '602.84', '0']"
"['625.94', '620.97', '621.6', '617.79', '621.45', '624.57', '627.44', '623.25', '620.22', '620.65', '612.94', '602.84', '600.16', '0']"
"['620.97', '621.6', '617.79', '621.45', '624.57', '627.44', '623.25', '620.22', '620.65', '612.94', '602.84', '600.16', '595.1', '0']"
"['621.6', '617.79', '621.45', '624.57', '627.44', '623.25', '620.22', '620.65', '612.94', '602.84', '600.16', '595.1', '592.2', '0']"
"['617.79', '621.45', '624.57', '627.44', '623.25', '620.22', '620.65', '612.94', '602.84', '600.16', '595.1', '592.2', '583.73', '0']"
"['621.45', '624.57', '627.44', '623.25', '620.22', '620.65', '612.94', '602.84', '600.16', '595.1', '592.2', '583.73', '582.82', '0']"
"['624.57', '627.44', '623.25', '620.22', '620.65', '612.94', '602.84', '600.16', '595.1', '592.2', '583.73', '582.82', '571', '1']"
"['627.44', '623.25', '620.22', '620.65', '612.94', '602.84', '600.16', '595.1', '592.2', '583.73', '582.82', '571', '578.48', '1']"
"['623.25', '620.22', '620.65', '612.94', '602.84', '600.16', '595.1', '592.2', '583.73', '582.82', '571', '578.48', '594.19', '0']"
"['620.22', '620.65', '612.94', '602.84', '600.16', '595.1', '592.2', '583.73', '582.82', '571', '578.48', '594.19', '587.64', '0']"
"['620.65', '612.94', '602.84', '600.16', '595.1', '592.2', '583.73', '582.82', '571', '578.48', '594.19', '587.64', '585.39', '1']"
"['612.94', '602.84', '600.16', '595.1', '592.2', '583.73', '582.82', '571', '578.48', '594.19', '587.64', '585.39', '587.23', '0']"
"['602.84', '600.16', '595.1', '592.2', '583.73', '582.82', '571', '578.48', '594.19', '587.64', '585.39', '587.23', '584.01', '0']"
"['600.16', '595.1', '592.2', '583.73', '582.82', '571', '578.48', '594.19', '587.64', '585.39', '587.23', '584.01', '583.18', '1']"
"['595.1', '592.2', '583.73', '582.82', '571', '578.48', '594.19', '587.64', '585.39', '587.23', '584.01', '583.18', '586.43', '1']"
"['592.2', '583.73', '582.82', '571', '578.48', '594.19', '587.64', '585.39', '587.23', '584.01', '583.18', '586.43', '590.94', '0']"
"['583.73', '582.82', '571', '578.48', '594.19', '587.64', '585.39', '587.23', '584.01', '583.18', '586.43', '590.94', '588.25', '1']"
"['582.82', '571', '578.48', '594.19', '587.64', '585.39', '587.23', '584.01', '583.18', '586.43', '590.94', '588.25', '589.48', '0']"
"['571', '578.48', '594.19', '587.64', '585.39', '587.23', '584.01', '583.18', '586.43', '590.94', '588.25', '589.48', '578.94', '0']"
"['578.48', '594.19', '587.64', '585.39', '587.23', '584.01', '583.18', '586.43', '590.94', '588.25', '589.48', '578.94', '555.19', '0']"
"['594.19', '587.64', '585.39', '587.23', '584.01', '583.18', '586.43', '590.94', '588.25', '589.48', '578.94', '555.19', '548.18', '0']"
"['587.64', '585.39', '587.23', '584.01', '583.18', '586.43', '590.94', '588.25', '589.48', '578.94', '555.19', '548.18', '515.44', '0']"
"['585.39', '587.23', '584.01', '583.18', '586.43', '590.94', '588.25', '589.48', '578.94', '555.19', '548.18', '515.44', '499.4', '1']"
"['587.23', '584.01', '583.18', '586.43', '590.94', '588.25', '589.48', '578.94', '555.19', '548.18', '515.44', '499.4', '510.15', '0']"
"['584.01', '583.18', '586.43', '590.94', '588.25', '589.48', '578.94', '555.19', '548.18', '515.44', '499.4', '510.15', '496.57', '0']"
"['583.18', '586.43', '590.94', '588.25', '589.48', '578.94', '555.19', '548.18', '515.44', '499.4', '510.15', '496.57', '465.59', '1']"
"['586.43', '590.94', '588.25', '589.48', '578.94', '555.19', '548.18', '515.44', '499.4', '510.15', '496.57', '465.59', '481.54', '1']"
"['590.94', '588.25', '589.48', '578.94', '555.19', '548.18', '515.44', '499.4', '510.15', '496.57', '465.59', '481.54', '504.05', '1']"
"['588.25', '589.48', '578.94', '555.19', '548.18', '515.44', '499.4', '510.15', '496.57', '465.59', '481.54', '504.05', '519.8', '0']"
"['589.48', '578.94', '555.19', '548.18', '515.44', '499.4', '510.15', '496.57', '465.59', '481.54', '504.05', '519.8', '512.16', '0']"
"['578.94', '555.19', '548.18', '515.44', '499.4', '510.15', '496.57', '465.59', '481.54', '504.05', '519.8', '512.16', '500.74', '1']"
"['555.19', '548.18', '515.44', '499.4', '510.15', '496.57', '465.59', '481.54', '504.05', '519.8', '512.16', '500.74', '507.97', '0']"
"['548.18', '515.44', '499.4', '510.15', '496.57', '465.59', '481.54', '504.05', '519.8', '512.16', '500.74', '507.97', '503.12', '1']"
"['515.44', '499.4', '510.15', '496.57', '465.59', '481.54', '504.05', '519.8', '512.16', '500.74', '507.97', '503.12', '510.97', '0']"
"['499.4', '510.15', '496.57', '465.59', '481.54', '504.05', '519.8', '512.16', '500.74', '507.97', '503.12', '510.97', '508.96', '1']"
"['510.15', '496.57', '465.59', '481.54', '504.05', '519.8', '512.16', '500.74', '507.97', '503.12', '510.97', '508.96', '509.12', '0']"
"['496.57', '465.59', '481.54', '504.05', '519.8', '512.16', '500.74', '507.97', '503.12', '510.97', '508.96', '509.12', '508.91', '0']"
"['465.59', '481.54', '504.05', '519.8', '512.16', '500.74', '507.97', '503.12', '510.97', '508.96', '509.12', '508.91', '502.63', '0']"
"['481.54', '504.05', '519.8', '512.16', '500.74', '507.97', '503.12', '510.97', '508.96', '509.12', '508.91', '502.63', '482.43', '0']"
"['504.05', '519.8', '512.16', '500.74', '507.97', '503.12', '510.97', '508.96', '509.12', '508.91', '502.63', '482.43', '478.48', '0']"
"['519.8', '512.16', '500.74', '507.97', '503.12', '510.97', '508.96', '509.12', '508.91', '502.63', '482.43', '478.48', '477.75', '0']"
"['512.16', '500.74', '507.97', '503.12', '510.97', '508.96', '509.12', '508.91', '502.63', '482.43', '478.48', '477.75', '476.97', '1']"
"['500.74', '507.97', '503.12', '510.97', '508.96', '509.12', '508.91', '502.63', '482.43', '478.48', '477.75', '476.97', '487.62', '0']"
"['507.97', '503.12', '510.97', '508.96', '509.12', '508.91', '502.63', '482.43', '478.48', '477.75', '476.97', '487.62', '483.33', '0']"
"['503.12', '510.97', '508.96', '509.12', '508.91', '502.63', '482.43', '478.48', '477.75', '476.97', '487.62', '483.33', '482.07', '1']"
"['510.97', '508.96', '509.12', '508.91', '502.63', '482.43', '478.48', '477.75', '476.97', '487.62', '483.33', '482.07', '482.93', '0']"
"['508.96', '509.12', '508.91', '502.63', '482.43', '478.48', '477.75', '476.97', '487.62', '483.33', '482.07', '482.93', '472.59', '0']"
"['509.12', '508.91', '502.63', '482.43', '478.48', '477.75', '476.97', '487.62', '483.33', '482.07', '482.93', '472.59', '470.93', '1']"
"['508.91', '502.63', '482.43', '478.48', '477.75', '476.97', '487.62', '483.33', '482.07', '482.93', '472.59', '470.93', '480.79', '0']"
"['502.63', '482.43', '478.48', '477.75', '476.97', '487.62', '483.33', '482.07', '482.93', '472.59', '470.93', '480.79', '475.53', '0']"
"['482.43', '478.48', '477.75', '476.97', '487.62', '483.33', '482.07', '482.93', '472.59', '470.93', '480.79', '475.53', '474.44', '1']"
"['478.48', '477.75', '476.97', '487.62', '483.33', '482.07', '482.93', '472.59', '470.93', '480.79', '475.53', '474.44', '478.16', '0']"
"['477.75', '476.97', '487.62', '483.33', '482.07', '482.93', '472.59', '470.93', '480.79', '475.53', '474.44', '478.16', '477.25', '0']"
"['476.97', '487.62', '483.33', '482.07', '482.93', '472.59', '470.93', '480.79', '475.53', '474.44', '478.16', '477.25', '473.9', '0']"
"['487.62', '483.33', '482.07', '482.93', '472.59', '470.93', '480.79', '475.53', '474.44', '478.16', '477.25', '473.9', '455.35', '0']"
"['483.33', '482.07', '482.93', '472.59', '470.93', '480.79', '475.53', '474.44', '478.16', '477.25', '473.9', '455.35', '454.89', '0']"
"['482.07', '482.93', '472.59', '470.93', '480.79', '475.53', '474.44', '478.16', '477.25', '473.9', '455.35', '454.89', '426.72', '0']"
"['482.93', '472.59', '470.93', '480.79', '475.53', '474.44', '478.16', '477.25', '473.9', '455.35', '454.89', '426.72', '398.59', '1']"
"['472.59', '470.93', '480.79', '475.53', '474.44', '478.16', '477.25', '473.9', '455.35', '454.89', '426.72', '398.59', '408.04', '0']"
"['470.93', '480.79', '475.53', '474.44', '478.16', '477.25', '473.9', '455.35', '454.89', '426.72', '398.59', '408.04', '402.66', '0']"
"['480.79', '475.53', '474.44', '478.16', '477.25', '473.9', '455.35', '454.89', '426.72', '398.59', '408.04', '402.66', '399.96', '1']"
"['475.53', '474.44', '478.16', '477.25', '473.9', '455.35', '454.89', '426.72', '398.59', '408.04', '402.66', '399.96', '425.2', '1']"
"['474.44', '478.16', '477.25', '473.9', '455.35', '454.89', '426.72', '398.59', '408.04', '402.66', '399.96', '425.2', '425.22', '0']"
"['478.16', '477.25', '473.9', '455.35', '454.89', '426.72', '398.59', '408.04', '402.66', '399.96', '425.2', '425.22', '410.39', '0']"
