815.39, 785.62, 715.76, 680.58, 687.89, 673.81, 662.36, 
785.62, 715.76, 680.58, 687.89, 673.81, 662.36, 653.72, 
715.76, 680.58, 687.89, 673.81, 662.36, 653.72, 614.82, 
680.58, 687.89, 673.81, 662.36, 653.72, 614.82, 659.26, 
687.89, 673.81, 662.36, 653.72, 614.82, 659.26, 648.36, 
673.81, 662.36, 653.72, 614.82, 659.26, 648.36, 608.54, 
662.36, 653.72, 614.82, 659.26, 648.36, 608.54, 624.95, 
653.72, 614.82, 659.26, 648.36, 608.54, 624.95, 614.93, 
614.82, 659.26, 648.36, 608.54, 624.95, 614.93, 622.34, 
659.26, 648.36, 608.54, 624.95, 614.93, 622.34, 562.62, 
648.36, 608.54, 624.95, 614.93, 622.34, 562.62, 568.16, 
608.54, 624.95, 614.93, 622.34, 562.62, 568.16, 600.64, 
624.95, 614.93, 622.34, 562.62, 568.16, 600.64, 594.46, 
614.93, 622.34, 562.62, 568.16, 600.64, 594.46, 547.14, 
622.34, 562.62, 568.16, 600.64, 594.46, 547.14, 529.19, 
562.62, 568.16, 600.64, 594.46, 547.14, 529.19, 581, 
568.16, 600.64, 594.46, 547.14, 529.19, 581, 579.03, 
600.64, 594.46, 547.14, 529.19, 581, 579.03, 567.93, 
594.46, 547.14, 529.19, 581, 579.03, 567.93, 565.62, 
547.14, 529.19, 581, 579.03, 567.93, 565.62, 557.3, 
529.19, 581, 579.03, 567.93, 565.62, 557.3, 662.28, 
581, 579.03, 567.93, 565.62, 557.3, 662.28, 665, 
579.03, 567.93, 565.62, 557.3, 662.28, 665, 655.51, 
567.93, 565.62, 557.3, 662.28, 665, 655.51, 658.71, 
565.62, 557.3, 662.28, 665, 655.51, 658.71, 627.36, 
557.3, 662.28, 665, 655.51, 658.71, 627.36, 616.06, 
662.28, 665, 655.51, 658.71, 627.36, 616.06, 637.04, 
665, 655.51, 658.71, 627.36, 616.06, 637.04, 626.45, 
655.51, 658.71, 627.36, 616.06, 637.04, 626.45, 629.08, 
658.71, 627.36, 616.06, 637.04, 626.45, 629.08, 633.59, 
627.36, 616.06, 637.04, 626.45, 629.08, 633.59, 639.1, 
616.06, 637.04, 626.45, 629.08, 633.59, 639.1, 627.99, 
637.04, 626.45, 629.08, 633.59, 639.1, 627.99, 629.35, 
626.45, 629.08, 633.59, 639.1, 627.99, 629.35, 630.53, 
629.08, 633.59, 639.1, 627.99, 629.35, 630.53, 622.9, 
633.59, 639.1, 627.99, 629.35, 630.53, 622.9, 613.84, 
639.1, 627.99, 629.35, 630.53, 622.9, 613.84, 610.04, 
627.99, 629.35, 630.53, 622.9, 613.84, 610.04, 583.67, 
629.35, 630.53, 622.9, 613.84, 610.04, 583.67, 578.36, 
630.53, 622.9, 613.84, 610.04, 583.67, 578.36, 562.2, 
622.9, 613.84, 610.04, 583.67, 578.36, 562.2, 564.25, 
613.84, 610.04, 583.67, 578.36, 562.2, 564.25, 574.88, 
610.04, 583.67, 578.36, 562.2, 564.25, 574.88, 563.9, 
583.67, 578.36, 562.2, 564.25, 574.88, 563.9, 581.1, 
578.36, 562.2, 564.25, 574.88, 563.9, 581.1, 512.9, 
562.2, 564.25, 574.88, 563.9, 581.1, 512.9, 501.32, 
564.25, 574.88, 563.9, 581.1, 512.9, 501.32, 497.05, 
574.88, 563.9, 581.1, 512.9, 501.32, 497.05, 462.2, 
563.9, 581.1, 512.9, 501.32, 497.05, 462.2, 457.6, 
581.1, 512.9, 501.32, 497.05, 462.2, 457.6, 478.67, 
512.9, 501.32, 497.05, 462.2, 457.6, 478.67, 449.1, 
501.32, 497.05, 462.2, 457.6, 478.67, 449.1, 442.61, 
497.05, 462.2, 457.6, 478.67, 449.1, 442.61, 447.95, 
462.2, 457.6, 478.67, 449.1, 442.61, 447.95, 457.53, 
457.6, 478.67, 449.1, 442.61, 447.95, 457.53, 460.37, 
